setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,depth,seed,n_params
d=1 s=0,Random 50% #25,1714,0.0024135223603308,0.0248372953427916,0.0206065616496688,-0.0224237729824608,-0.018193039289338,False,False,False,,1,0,257
d=1 s=0,Random 50% #26,1714,-0.0063986093578627,0.0156218581850395,0.0138800537849463,-0.0220204675429022,-0.0202786631428091,False,False,False,,1,0,257
d=1 s=0,Random 50% #27,1714,-0.0048317683881064,0.0175679266820006,0.0131155395168457,-0.022399695070107,-0.0179473079049521,False,False,False,,1,0,257
d=1 s=0,Random 50% #28,1714,0.0098094573797898,0.0097552697992502,0.0161256636056857,5.418758053957195e-05,-0.0063162062258958,False,True,True,,1,0,257
d=1 s=0,Random 50% #29,1714,0.0125552608311229,0.0169570735170092,0.0114940264736784,-0.0044018126858863,0.0010612343574444,False,True,True,,1,0,257
d=1 s=0,Random 50% #30,1714,0.0022139615866539,0.0134746405324477,0.0256104740304503,-0.0112606789457938,-0.0233965124437963,False,False,False,,1,0,257
d=1 s=0,Random 50% #31,1714,0.0081502190717898,0.0118099978796731,0.0109560861794005,-0.0036597788078833,-0.0028058671076107,False,False,False,,1,0,257
d=1 s=0,Random 50% #32,1714,-0.0092920029904661,0.0067848336372796,0.0147116271987124,-0.0160768366277457,-0.0240036301891786,False,False,False,,1,0,257
d=1 s=0,Random 50% #33,1714,-0.002514181228832,0.0130825151054256,0.0211744321153877,-0.0155966963342576,-0.0236886133442197,False,False,False,,1,0,257
d=1 s=0,Random 50% #34,1714,0.0070180513371488,0.0133370356587477,0.0147429873660263,-0.0063189843215988,-0.0077249360288774,False,False,False,,1,0,257
d=1 s=0,Random 50% #35,1714,0.0093248828878478,0.0210415881606328,0.0220620054957774,-0.0117167052727849,-0.0127371226079295,False,False,False,,1,0,257
d=1 s=0,Random 50% #36,1714,0.016912667846362,0.0126213966269066,0.0225014024415432,0.0042912712194553,-0.0055887345951811,False,True,True,,1,0,257
d=1 s=0,Random 50% #37,1714,0.0036653828805384,0.0175462663240681,0.0148727640910421,-0.0138808834435296,-0.0112073812105036,False,False,False,,1,0,257
d=1 s=0,Random 50% #38,1714,0.0021576191788371,0.0161924533171351,0.0183624062818051,-0.014034834138298,-0.016204787102968,False,False,False,,1,0,257
d=1 s=0,Random 50% #39,1714,0.0170086158804934,0.0075048513820703,0.0191030175390159,0.009503764498423,-0.0020944016585225,False,True,True,,1,0,257
d=1 s=0,Random 50% #40,1714,0.018520937100027,0.0186304488157534,0.0276081503601562,-0.0001095117157263,-0.0090872132601291,False,False,False,,1,0,257
d=1 s=0,Random 50% #41,1714,0.0027199322354597,0.0092154938318353,0.0091138479904733,-0.0064955615963755,-0.0063939157550136,False,False,False,,1,0,257
d=1 s=0,Random 50% #42,1714,0.0178900300253214,0.0236675947660453,0.0104839833947594,-0.0057775647407239,0.0074060466305619,False,True,True,,1,0,257
d=1 s=0,Random 50% #43,1714,0.0169958506224066,0.0169404687474812,0.0156857760130979,5.538187492540314e-05,0.0013100746093087,False,False,False,,1,0,257
d=1 s=0,Random 50% #44,1714,-0.0080414937759336,0.0196392185785688,0.0190107500199177,-0.0276807123545024,-0.0270522437958513,False,False,False,,1,0,257
d=1 s=0,Random 50% #45,1714,-0.0006684003732017,0.0199830787577434,0.0088140069106365,-0.0206514791309451,-0.0094824072838382,False,False,False,,1,0,257
d=1 s=0,Random 50% #46,1714,-0.0127567411871579,0.0143682334398004,0.0162759168529899,-0.0271249746269583,-0.0290326580401479,False,False,False,,1,0,257
d=1 s=0,Random 50% #47,1714,-0.0023071888899981,0.0144942263993062,0.0315551800019047,-0.0168014152893043,-0.0338623688919028,False,False,False,,1,0,257
d=1 s=0,Random 50% #48,1714,0.0007707867678387,0.025240150842654,0.0204653120278666,-0.0244693640748152,-0.0196945252600279,False,False,False,,1,0,257
d=1 s=0,Random 50% #49,1714,-0.0052585890287469,0.0134802492012222,0.0101906256638948,-0.0187388382299692,-0.0154492146926418,False,False,False,,1,0,257
d=1 s=0,Random 50% #50,1714,-0.009935439192208,0.0085621258533498,-0.0026666470174403,-0.0184975650455578,-0.0072687921747676,True,False,True,,1,0,257
d=1 s=0,Random 30% #1,1028,0.0177032019704433,0.0240838498430861,0.0342139344540641,-0.0063806478726427,-0.0165107324836207,False,False,False,,1,0,257
d=1 s=0,Random 30% #2,1028,-0.0188812287552644,-0.0049344298753467,0.010109915784213,-0.0139467988799177,-0.0289911445394775,True,False,True,,1,0,257
d=1 s=0,Random 30% #3,1028,-0.0136963318843895,-0.0115281702630672,0.0044147873542867,-0.0021681616213223,-0.0181111192386763,True,False,True,,1,0,257
d=1 s=0,Random 30% #4,1028,0.012612065619632,0.0146652558089959,0.0110575573576204,-0.0020531901893638,0.0015545082620116,False,True,True,,1,0,257
d=1 s=0,Random 30% #5,1028,0.012955140579904,0.0245306525414084,0.0154546133294498,-0.0115755119615043,-0.0024994727495457,False,False,False,,1,0,257
d=1 s=0,Random 30% #6,1028,0.011061887501678,0.0050448722612345,0.0182174803061144,0.0060170152404434,-0.0071555928044363,False,True,True,,1,0,257
d=1 s=0,Random 30% #7,1028,-0.0019795447047178,0.0192363738112837,0.0337466799004333,-0.0212159185160016,-0.0357262246051512,False,False,False,,1,0,257
d=1 s=0,Random 30% #8,1028,-0.0013757582957458,0.0181230978896261,0.0177333988183406,-0.019498856185372,-0.0191091571140865,False,False,False,,1,0,257
d=1 s=0,Random 30% #9,1028,0.0167924069116573,0.0075791472164773,0.0111436800532528,0.00921325969518,0.0056487268584045,False,False,False,,1,0,257
d=1 s=0,Random 30% #10,1028,0.0218614718614718,0.0035036333872407,-0.0004677076964657,0.0183578384742311,0.0223291795579375,True,False,True,,1,0,257
