setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,arch,n_params
4,MAP quartile 0,877,-0.0141240285818599,-0.0108637180160439,0.012098739085272,-0.0032603105658159,-0.0262227676671319,True,False,True,,4,33
4,MAP quartile 1,840,0.02392179413456,-0.0194420186150473,0.0285992352030204,0.0433638127496074,-0.0046774410684603,True,True,True,,4,33
4,MAP quartile 2,866,0.0104058609958506,-0.0044932810293917,0.0155501675894009,0.0148991420252423,-0.0051443065935502,True,True,True,,4,33
4,MAP quartile 3,846,0.0090927756430939,0.0062851860990324,0.023246973726269,0.0028075895440614,-0.0141541980831751,False,True,True,,4,33
4,Temp quartile 0,902,0.0068727157158747,-0.0220989675960862,0.0152004954996139,0.028971683311961,-0.0083277797837392,True,True,True,,4,33
4,Temp quartile 1,864,0.0305627470437901,-0.0112843283955995,0.0335103107448044,0.0418470754393897,-0.0029475637010143,True,True,True,,4,33
4,Temp quartile 2,838,-0.0036346905912123,-0.0179598536353511,0.0173470494146741,0.0143251630441388,-0.0209817400058864,True,True,True,,4,33
4,Temp quartile 3,825,-0.0023612750885478,-0.0111428506749439,0.0349817465681534,0.0087815755863961,-0.0373430216567012,True,True,True,,4,33
4,Urine quartile 0,859,-0.0313289760348584,-0.0274705255123214,0.0087828664662933,-0.0038584505225369,-0.0401118425011517,True,False,True,,4,33
4,Urine quartile 1,913,-0.0210526315789473,-0.0194156417295926,0.0155071669997781,-0.0016369898493547,-0.0365597985787255,True,False,True,,4,33
4,Urine quartile 2,802,0.0149901230333403,-0.0118281595650109,0.0184835784137465,0.0268182825983512,-0.0034934553804062,True,True,True,,4,33
4,Urine quartile 3,855,0.0601118199903958,0.0054473363659081,0.0080316992406896,0.0546644836244877,0.0520801207497061,False,False,False,,4,33
4,SAPS quartile 0,1025,0.0026756349262149,-0.0149491518518571,0.0175680845283736,0.017624786778072,-0.0148924496021586,True,True,True,,4,33
4,SAPS quartile 1,946,0.0452124666297511,-0.0101906205087533,0.0269214121785666,0.0554030871385045,0.0182910544511845,True,False,True,,4,33
4,SAPS quartile 2,660,0.0015384615384615,-0.0053690015141129,0.0074158662955751,0.0069074630525744,-0.0058774047571136,True,True,True,,4,33
4,SAPS quartile 3,798,-0.0389986891196934,-0.0196000999948,0.018882561737602,-0.0193985891248934,-0.0578812508572955,True,False,True,,4,33
4,HR > 100,945,-0.0351262896411669,-0.0180201190377652,0.0327075887679717,-0.0171061706034017,-0.0678338784091387,True,False,True,,4,33
4,MAP < 65,697,-0.0279136809159047,-0.0102122526996366,0.0047545611603466,-0.0177014282162681,-0.0326682420762514,True,False,True,,4,33
4,Temp > 38C,267,-0.0430204913392958,-0.0177389629698625,0.0287259244350216,-0.0252815283694332,-0.0717464157743174,True,False,True,,4,33
4,Urine > 1000,210,0.0458952811893988,0.0244166415776119,0.0194180322259221,0.0214786396117868,0.0264772489634767,False,False,False,,4,33
4,Random 50% #1,1714,0.0148182289884191,0.0003199493871382,0.0222588701793125,0.0144982796012809,-0.0074406411908933,False,True,True,,4,33
4,Random 50% #2,1714,0.0038708396744524,0.0022526262963596,0.0157695729814532,0.0016182133780928,-0.0118987333070007,False,True,True,,4,33
4,Random 50% #3,1714,0.0221853388658367,-0.0001435558349835,0.0203552357729265,0.0223288947008203,0.0018301030929102,True,False,True,,4,33
4,Random 50% #4,1714,0.0209444740819774,0.0046094590437511,0.0237100935736648,0.0163350150382262,-0.0027656194916874,False,True,True,,4,33
4,Random 50% #5,1714,0.025145147627017,0.0012607593137858,0.0241859621588438,0.0238843883132312,0.0009591854681732,False,False,False,,4,33
4,Random 50% #6,1714,-0.0032358828377694,0.00038259991551,0.0216644498768913,-0.0036184827532795,-0.0249003327146608,False,False,False,,4,33
4,Random 50% #7,1714,0.0203886964648963,0.0083333837372735,0.0287865084208312,0.0120553127276228,-0.0083978119559348,False,True,True,,4,33
4,Random 50% #8,1714,-0.0080211409064465,0.0066630740432288,0.0227431163281286,-0.0146842149496753,-0.0307642572345751,False,False,False,,4,33
4,Random 50% #9,1714,-0.0018808498325041,-0.0002469213122258,0.0233729078454538,-0.0016339285202782,-0.025253757677958,True,False,True,,4,33
4,Random 50% #10,1714,0.0032849222618878,0.0062105062146071,0.0184502093312032,-0.0029255839527192,-0.0151652870693153,False,False,False,,4,33
4,Random 50% #11,1714,0.0064028840624585,0.0033840769253784,0.0204819938418306,0.00301880713708,-0.0140791097793721,False,True,True,,4,33
4,Random 50% #12,1714,-0.0033234372422892,0.0020160000561914,0.0187211166545319,-0.0053394372984806,-0.0220445538968212,False,False,False,,4,33
4,Random 50% #13,1714,0.0032517955657333,-0.0007287970769952,0.0190273252699627,0.0039805926427285,-0.0157755297042294,True,True,True,,4,33
4,Random 50% #14,1714,0.0062157191184681,0.0020174960474253,0.0176461618495705,0.0041982230710428,-0.0114304427311023,False,True,True,,4,33
4,Random 50% #15,1714,0.0026854501430772,0.0027053109627278,0.0231037821856175,-1.9860819650580064e-05,-0.0204183320425403,False,False,False,,4,33
4,Random 50% #16,1714,0.0188052608311229,0.0072794340102593,0.0182741286556161,0.0115258268208635,0.0005311321755067,False,False,False,,4,33
