setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,width,seed,n_params
w=8 s=0,Random 30% #41,1028,0.0003191021554961,0.0069410787915584,0.0266346568519315,-0.0066219766360623,-0.0263155546964354,False,False,False,,8,0,209
w=8 s=0,Random 30% #42,1028,0.0039796984507742,0.0235176034506567,0.0012273365673982,-0.0195379049998824,0.0027523618833759,False,True,True,,8,0,209
w=8 s=0,Random 30% #43,1028,0.0320665445665445,0.0320384593737418,0.0135085539544755,2.8085192802673745e-05,0.0185579906120689,False,False,False,,8,0,209
w=8 s=0,Random 30% #44,1028,0.014617494198646,0.0104537545179128,0.0406365642724529,0.0041637396807331,-0.0260190700738068,False,True,True,,8,0,209
w=8 s=0,Random 30% #45,1028,-0.010677190889205,0.0074987917497658,-0.0082493066399489,-0.0181759826389708,-0.002427884249256,True,False,True,,8,0,209
w=8 s=0,Random 30% #46,1028,-0.0211341559464426,0.0144851326464727,-0.0026778421074427,-0.0356192885929153,-0.0184563138389999,True,False,True,,8,0,209
w=8 s=0,Random 30% #47,1028,0.0021068472535741,0.0119048111637586,0.0350644967137691,-0.0097979639101845,-0.032957649460195,False,False,False,,8,0,209
w=8 s=0,Random 30% #48,1028,0.0099373113536103,0.019229624318611,0.0310557704862966,-0.0092923129650006,-0.0211184591326862,False,False,False,,8,0,209
w=8 s=0,Random 30% #49,1028,-0.0033935788911766,0.0068667382603403,-0.0030266747194493,-0.010260317151517,-0.0003669041717273,True,False,True,,8,0,209
w=8 s=0,Random 30% #50,1028,-0.0149638584774062,0.0223270566530728,0.0259621485000504,-0.037290915130479,-0.0409260069774567,False,False,False,,8,0,209
w=8 s=1,All Patients,3429,0.0078818040435458,0.0202065160882721,0.0217596532673375,-0.0123247120447262,-0.0138778492237916,False,False,False,,8,1,209
w=8 s=1,ICUType 1.0,490,0.0294939989088925,0.0157198558027443,0.035229207006008,0.0137741431061481,-0.0057352080971155,False,True,True,,8,1,209
w=8 s=1,ICUType 2.0,643,-0.000975689080413,-0.0065369561571157,0.0099093722017499,0.0055612670767026,-0.010885061282163,True,True,True,,8,1,209
w=8 s=1,ICUType 3.0,1357,-0.0217764843549488,0.016778289807031,0.0188080096231764,-0.0385547741619799,-0.0405844939781253,False,False,False,,8,1,209
w=8 s=1,ICUType 4.0,939,0.0202084035501629,0.0352202339311178,0.0416153586657765,-0.0150118303809549,-0.0214069551156136,False,False,False,,8,1,209
w=8 s=1,Age decile 0,374,0.046026807780653,0.0463615388332639,-0.003374642677971,-0.0003347310526109,0.049401450458624,True,True,True,,8,1,209
w=8 s=1,Age decile 1,344,0.0273634472301562,0.0474890683973265,-0.0022947224819036,-0.0201256211671703,0.0296581697120599,True,True,True,,8,1,209
w=8 s=1,Age decile 2,347,0.0042864169770219,0.0028646582217959,0.0612592749490107,0.001421758755226,-0.0569728579719887,False,True,True,,8,1,209
w=8 s=1,Age decile 3,325,0.0096292729898892,0.0321844618590929,0.05454169650364,-0.0225551888692036,-0.0449124235137507,False,False,False,,8,1,209
w=8 s=1,Age decile 4,372,-0.0152359717577108,-0.0031143335658856,-0.0181641727943761,-0.0121216381918252,0.0029282010366653,False,True,True,,8,1,209
w=8 s=1,Age decile 5,344,-0.0250497851378262,0.0013173487329176,-0.007508256875075,-0.0263671338707438,-0.0175415282627511,True,False,True,,8,1,209
w=8 s=1,Age decile 6,397,-0.0004719207173194,0.0297234421259807,0.0046588255521209,-0.0301953628433002,-0.0051307462694404,False,False,False,,8,1,209
w=8 s=1,Age decile 7,247,0.0173747705218987,0.0093395657725771,0.025976637147506,0.0080352047493216,-0.0086018666256072,False,True,True,,8,1,209
w=8 s=1,Age decile 8,354,-0.0216450216450216,0.0038703510316286,0.003385632590495,-0.0255153726766502,-0.0250306542355166,False,False,False,,8,1,209
w=8 s=1,Age decile 9,325,-0.0771864301276066,0.0023671092502445,-0.0098501480611447,-0.0795535393778511,-0.0673362820664618,True,False,True,,8,1,209
w=8 s=1,HR quartile 0,877,0.0371049136786188,0.0405936740455126,0.0140305249509858,-0.0034887603668937,0.0230743887276329,False,True,True,,8,1,209
w=8 s=1,HR quartile 1,917,-0.0169849537037037,0.0154456959759143,0.0160662786782103,-0.032430649679618,-0.033051232381914,False,False,False,,8,1,209
w=8 s=1,HR quartile 2,816,0.034861311019492,0.0100758174992034,0.0326360525606052,0.0247854935202886,0.0022252584588868,False,False,False,,8,1,209
w=8 s=1,HR quartile 3,819,-0.0232600311906863,-0.0098532220717091,0.0067877093012581,-0.0134068091189771,-0.0300477404919444,True,False,True,,8,1,209
w=8 s=1,MAP quartile 0,877,-0.0141240285818599,0.0169384912156647,0.0045949834317732,-0.0310625197975246,-0.0187190120136331,False,False,False,,8,1,209
w=8 s=1,MAP quartile 1,840,0.02392179413456,0.0052137632563657,0.0548295060604135,0.0187080308781943,-0.0309077119258534,False,True,True,,8,1,209
