setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,max_depth
depth 1,Random 50% #13,1714,0.0032517955657333,0.0106821496932504,0.0203273901244503,-0.0074303541275171,-0.017075594558717,False,False,False,,1
depth 1,Random 50% #14,1714,0.0062157191184681,0.0116780842500904,0.0157750184396815,-0.0054623651316223,-0.0095592993212133,False,False,False,,1
depth 1,Random 50% #15,1714,0.0026854501430772,0.0148142078900621,0.0203509255945735,-0.0121287577469849,-0.0176654754514963,False,False,False,,1
depth 1,Random 50% #16,1714,0.0188052608311229,0.0108635535706042,0.0156403461610363,0.0079417072605186,0.0031649146700865,False,False,False,,1
depth 1,Random 50% #17,1714,0.0073507410721795,0.0117715297943529,0.0267685856148036,-0.0044207887221733,-0.019417844542624,False,False,False,,1
depth 1,Random 50% #18,1714,0.0251803786741562,0.0133615066506472,0.0182700236411539,0.0118188720235089,0.0069103550330023,False,False,False,,1
depth 1,Random 50% #19,1714,0.0087463233253787,0.0098333403308527,0.0147042192379108,-0.0010870170054739,-0.005957895912532,False,False,False,,1
depth 1,Random 50% #20,1714,0.0239488541873964,0.0139861702212802,0.0238176013107771,0.0099626839661161,0.0001312528766192,False,False,False,,1
depth 1,Random 50% #21,1714,0.0016605879752431,0.0098072351334772,0.0189499311392861,-0.008146647158234,-0.017289343164043,False,False,False,,1
depth 1,Random 50% #22,1714,0.0178287222426975,0.0150809862220046,0.0219879978093177,0.0027477360206929,-0.0041592755666201,False,True,True,,1
depth 1,Random 50% #23,1714,-0.0051929851771431,0.0120540903851606,0.017181452015946,-0.0172470755623037,-0.0223744371930891,False,False,False,,1
depth 1,Random 50% #24,1714,0.0201698382197979,0.0121673374389054,0.0214441563899168,0.0080025007808924,-0.0012743181701189,False,True,True,,1
depth 1,Random 50% #25,1714,0.0024135223603308,0.0140660092470747,0.0178270646768341,-0.0116524868867439,-0.0154135423165032,False,False,False,,1
depth 1,Random 50% #26,1714,-0.0063986093578627,0.0073046972036585,0.0097646391618289,-0.0137033065615212,-0.0161632485196916,False,False,False,,1
depth 1,Random 50% #27,1714,-0.0048317683881064,0.0119616582431482,0.0138516913432298,-0.0167934266312546,-0.0186834597313362,False,False,False,,1
depth 1,Random 50% #28,1714,0.0098094573797898,0.0112284380859721,0.0195704800189469,-0.0014189807061823,-0.009761022639157,False,False,False,,1
depth 1,Random 50% #29,1714,0.0125552608311229,0.0111068284672427,0.0131458178981084,0.0014484323638801,-0.0005905570669855,False,True,True,,1
depth 1,Random 50% #30,1714,0.0022139615866539,0.0092264346433069,0.0192200312574524,-0.0070124730566529,-0.0170060696707984,False,False,False,,1
depth 1,Random 50% #31,1714,0.0081502190717898,0.0078327435156749,0.0117062226433743,0.0003174755561149,-0.0035560035715845,False,True,True,,1
depth 1,Random 50% #32,1714,-0.0092920029904661,0.0076294044799727,0.0151653643964451,-0.0169214074704389,-0.0244573673869113,False,False,False,,1
depth 1,Random 50% #33,1714,-0.002514181228832,0.0064033404834411,0.0162809324029608,-0.0089175217122731,-0.0187951136317928,False,False,False,,1
depth 1,Random 50% #34,1714,0.0070180513371488,0.0139026088373634,0.0181820517094355,-0.0068845575002146,-0.0111640003722867,False,False,False,,1
depth 1,Random 50% #35,1714,0.0093248828878478,0.0155107125606142,0.0221316300166594,-0.0061858296727663,-0.0128067471288115,False,False,False,,1
depth 1,Random 50% #36,1714,0.016912667846362,0.0061172185413228,0.0230978331742865,0.0107954493050391,-0.0061851653279245,False,True,True,,1
depth 1,Random 50% #37,1714,0.0036653828805384,0.0096709817564951,0.0181327223341195,-0.0060055988759566,-0.014467339453581,False,False,False,,1
depth 1,Random 50% #38,1714,0.0021576191788371,0.0129647214622019,0.025119244565676,-0.0108071022833648,-0.0229616253868389,False,False,False,,1
depth 1,Random 50% #39,1714,0.0170086158804934,0.0088805734956526,0.0203931221166464,0.0081280423848407,-0.003384506236153,False,True,True,,1
depth 1,Random 50% #40,1714,0.018520937100027,0.0149044773175373,0.0205494016529529,0.0036164597824897,-0.0020284645529259,False,True,True,,1
depth 1,Random 50% #41,1714,0.0027199322354597,0.013077832781837,0.0151389389786675,-0.0103579005463772,-0.0124190067432077,False,False,False,,1
depth 1,Random 50% #42,1714,0.0178900300253214,0.0159208830613579,0.0154708426919107,0.0019691469639634,0.0024191873334106,False,False,False,,1
depth 1,Random 50% #43,1714,0.0169958506224066,0.0162396811037884,0.0168985259505619,0.0007561695186181,9.732467184464522e-05,False,False,False,,1
depth 1,Random 50% #44,1714,-0.0080414937759336,0.0091180922698801,0.0109453338881436,-0.0171595860458137,-0.0189868276640772,False,False,False,,1
depth 1,Random 50% #45,1714,-0.0006684003732017,0.0176831244149991,0.0185547814652243,-0.0183515247882008,-0.019223181838426,False,False,False,,1
depth 1,Random 50% #46,1714,-0.0127567411871579,0.0117369281976862,0.0225612246347219,-0.0244936693848441,-0.0353179658218798,False,False,False,,1
depth 1,Random 50% #47,1714,-0.0023071888899981,0.0120524669134469,0.0230621119031854,-0.014359655803445,-0.0253693007931836,False,False,False,,1
depth 1,Random 50% #48,1714,0.0007707867678387,0.0153766496410747,0.0157616059441477,-0.0146058628732359,-0.0149908191763089,False,False,False,,1
depth 1,Random 50% #49,1714,-0.0052585890287469,0.0105559982535468,0.0197250920429452,-0.0158145872822937,-0.0249836810716921,False,False,False,,1
depth 1,Random 50% #50,1714,-0.009935439192208,0.0027747087844569,0.0078419770514664,-0.012710147976665,-0.0177774162436745,False,False,False,,1
depth 1,Random 30% #1,1028,0.0177032019704433,0.0113021552035117,0.0251004083396487,0.0064010467669316,-0.0073972063692053,False,True,True,,1
depth 1,Random 30% #2,1028,-0.0188812287552644,0.0026762946814885,0.0149150175407463,-0.021557523436753,-0.0337962462960108,False,False,False,,1
depth 1,Random 30% #3,1028,-0.0136963318843895,0.0036780350079719,0.0021358621674544,-0.0173743668923615,-0.0158321940518439,False,False,False,,1
depth 1,Random 30% #4,1028,0.012612065619632,0.0075332776993812,0.0205434014240502,0.0050787879202508,-0.0079313358044181,False,True,True,,1
depth 1,Random 30% #5,1028,0.012955140579904,0.0136382278107536,0.0157255474839933,-0.0006830872308495,-0.0027704069040892,False,False,False,,1
depth 1,Random 30% #6,1028,0.011061887501678,0.0181117741674873,0.0194668087466307,-0.0070498866658092,-0.0084049212449527,False,False,False,,1
depth 1,Random 30% #7,1028,-0.0019795447047178,0.0122753706260602,0.0206432777242775,-0.0142549153307781,-0.0226228224289954,False,False,False,,1
depth 1,Random 30% #8,1028,-0.0013757582957458,0.0116787542041297,0.0303049954869228,-0.0130545124998756,-0.0316807537826687,False,False,False,,1
depth 1,Random 30% #9,1028,0.0167924069116573,0.0090138079196461,0.0167547372967284,0.0077785989920112,3.7669614928848016e-05,False,False,False,,1
depth 1,Random 30% #10,1028,0.0218614718614718,0.007935724359054,0.0120814275051955,0.0139257475024177,0.0097800443562763,False,False,False,,1
depth 1,Random 30% #11,1028,0.0036992125742528,0.0077917739408669,0.0090956387783032,-0.0040925613666141,-0.0053964262040504,False,False,False,,1
depth 1,Random 30% #12,1028,-0.0176439165409753,0.0077948868410477,0.0091177676630823,-0.025438803382023,-0.0267616842040577,False,False,False,,1
depth 1,Random 30% #13,1028,0.0061871080085679,0.0150820141750224,0.0244456955075709,-0.0088949061664544,-0.0182585874990029,False,False,False,,1
depth 1,Random 30% #14,1028,-0.0024039572835282,0.0083428087934742,0.0171479478996684,-0.0107467660770025,-0.0195519051831967,False,False,False,,1
depth 1,Random 30% #15,1028,-0.0014797507788162,0.0206339864398866,0.0122805445717583,-0.0221137372187028,-0.0137602953505746,False,False,False,,1
depth 1,Random 30% #16,1028,0.006823838043474,0.013201727120124,0.0092007931621764,-0.0063778890766499,-0.0023769551187023,False,False,False,,1
depth 1,Random 30% #17,1028,0.0030261642698374,0.0134274444133475,0.0127704520140908,-0.01040128014351,-0.0097442877442533,False,False,False,,1
