setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,n_estimators
trees 10,Random 50% #7,1714,0.0203886964648963,0.0050248121598301,0.0082530421524317,0.0153638843050662,0.0121356543124646,False,False,False,,10
trees 10,Random 50% #8,1714,-0.0080211409064465,0.007256959341484,0.0066436026179316,-0.0152781002479305,-0.0146647435243782,False,False,False,,10
trees 10,Random 50% #9,1714,-0.0018808498325041,0.0041835406466181,0.0076987056806803,-0.0060643904791223,-0.0095795555131845,False,False,False,,10
trees 10,Random 50% #10,1714,0.0032849222618878,0.0039881466018086,0.0029714132345174,-0.0007032243399207,0.0003135090273704,False,True,True,,10
trees 10,Random 50% #11,1714,0.0064028840624585,0.0041893181083448,0.006597063263759,0.0022135659541137,-0.0001941792013004,False,True,True,,10
trees 10,Random 50% #12,1714,-0.0033234372422892,0.0070560654739273,0.0031282572017251,-0.0103795027162166,-0.0064516944440144,False,False,False,,10
trees 10,Random 50% #13,1714,0.0032517955657333,0.0051657853633499,0.005028272098801,-0.0019139897976166,-0.0017764765330677,False,False,False,,10
trees 10,Random 50% #14,1714,0.0062157191184681,0.0042394547090881,0.0032593036340193,0.00197626440938,0.0029564154844487,False,False,False,,10
trees 10,Random 50% #15,1714,0.0026854501430772,0.0065081663880945,0.0064916522083252,-0.0038227162450173,-0.003806202065248,False,False,False,,10
trees 10,Random 50% #16,1714,0.0188052608311229,0.0036837158714784,0.0043279451635113,0.0151215449596444,0.0144773156676115,False,False,False,,10
trees 10,Random 50% #17,1714,0.0073507410721795,0.0060373535454467,0.0105023127954069,0.0013133875267327,-0.0031515717232274,False,True,True,,10
trees 10,Random 50% #18,1714,0.0251803786741562,0.0044806491469397,0.0059937431737168,0.0206997295272164,0.0191866355004393,False,False,False,,10
trees 10,Random 50% #19,1714,0.0087463233253787,0.0052491976718019,0.0027293463249006,0.0034971256535767,0.0060169770004781,False,False,False,,10
trees 10,Random 50% #20,1714,0.0239488541873964,0.0037391199076241,0.007272920419955,0.0202097342797722,0.0166759337674413,False,False,False,,10
trees 10,Random 50% #21,1714,0.0016605879752431,0.0036821843309173,0.0040934287551807,-0.0020215963556741,-0.0024328407799375,False,False,False,,10
trees 10,Random 50% #22,1714,0.0178287222426975,0.005944343196794,0.0050645322155443,0.0118843790459034,0.0127641900271531,False,False,False,,10
trees 10,Random 50% #23,1714,-0.0051929851771431,0.005449992338939,0.0051105874121437,-0.0106429775160822,-0.0103035725892868,False,False,False,,10
trees 10,Random 50% #24,1714,0.0201698382197979,0.0048057378149369,0.005758404263206,0.0153641004048609,0.0144114339565919,False,False,False,,10
trees 10,Random 50% #25,1714,0.0024135223603308,0.0059677566686202,0.0058051535655206,-0.0035542343082894,-0.0033916312051897,False,False,False,,10
trees 10,Random 50% #26,1714,-0.0063986093578627,0.0035426253977157,0.0035135606603478,-0.0099412347555784,-0.0099121700182105,False,False,False,,10
trees 10,Random 50% #27,1714,-0.0048317683881064,0.0049217031183869,0.0038407071783602,-0.0097534715064934,-0.0086724755664666,False,False,False,,10
trees 10,Random 50% #28,1714,0.0098094573797898,0.0042543491979198,0.0047320292899665,0.00555510818187,0.0050774280898233,False,False,False,,10
trees 10,Random 50% #29,1714,0.0125552608311229,0.005483813350032,0.0043068544947394,0.0070714474810908,0.0082484063363834,False,False,False,,10
trees 10,Random 50% #30,1714,0.0022139615866539,0.0030491583653334,0.0048662832530923,-0.0008351967786794,-0.0026523216664384,False,False,False,,10
trees 10,Random 50% #31,1714,0.0081502190717898,0.0038868109273315,0.0046311908972656,0.0042634081444583,0.0035190281745241,False,False,False,,10
trees 10,Random 50% #32,1714,-0.0092920029904661,0.002897750867071,0.0034993597230664,-0.0121897538575372,-0.0127913627135326,False,False,False,,10
trees 10,Random 50% #33,1714,-0.002514181228832,0.0022348942029252,0.0048257287339276,-0.0047490754317572,-0.0073399099627597,False,False,False,,10
trees 10,Random 50% #34,1714,0.0070180513371488,0.0064356036514157,0.0047982985743169,0.0005824476857331,0.0022197527628319,False,False,False,,10
trees 10,Random 50% #35,1714,0.0093248828878478,0.0045476822187976,0.0072366443880622,0.0047772006690502,0.0020882384997855,False,False,False,,10
trees 10,Random 50% #36,1714,0.016912667846362,0.004097627167812,0.0048223752572557,0.01281504067855,0.0120902925891063,False,False,False,,10
trees 10,Random 50% #37,1714,0.0036653828805384,0.0039386725839443,0.0032289613715784,-0.0002732897034058,0.00043642150896,False,True,True,,10
