sweep,setting,subset_name,subset_value,pop_name,y_name,delta_y,explained_1,unexplained_1,explained_0,unexplained_0,n_1,n_0,error,n_features,seconds,explained_flip,unexplained_flip,any_flip
nn_width,w=32 s=1,st,49,immigrant,pincp,-0.33821703312701956,-0.1663489997266261,-0.12836990253221536,-0.19405407764133287,-0.10066482461750859,677,6812,,91,2.11,False,False,False
nn_width,w=32 s=1,st,49,immigrant,hicov,-0.16394736545378696,-0.04465985843946019,-0.11516960042992364,-0.051641641003630556,-0.10818781786575327,677,6812,,91,5.35,False,False,False
nn_width,w=32 s=1,st,5,sex_female,pincp,-0.2661997987464133,-0.011477032354592964,-0.2659948775552774,-0.014724403186038515,-0.26274750672383185,3295,4129,,92,1.89,False,False,False
nn_width,w=32 s=1,st,5,sex_female,hicov,0.0323388622831734,-0.0028983855003106296,0.015304502971135392,-0.01198669512039241,0.024392812591217172,3295,4129,,92,4.04,False,False,False
nn_width,w=32 s=1,st,5,race_bw,pincp,-0.2823326565036659,-0.040845091141186174,-0.3446212001454114,-0.12244134331969647,-0.2630249479669011,802,6230,,91,1.49,False,False,False
nn_width,w=32 s=1,st,5,immigrant,pincp,-0.24308967053588226,0.27860910973990194,-0.5023574028730948,-0.1316105588737866,-0.0921377342594063,391,7033,,92,1.98,True,False,True
nn_width,w=32 s=1,st,5,immigrant,hicov,-0.14289813131590456,-0.0712560979607475,-0.07252635678253261,-0.034220521979658525,-0.10956193276362158,391,7033,,92,4.74,False,False,False
nn_width,w=32 s=1,st,50,sex_female,pincp,-0.14022086869054817,0.1545754137123918,-0.2788761639318764,0.00986735967600083,-0.13416810989548544,852,1028,,86,1.01,False,False,False
nn_width,w=32 s=1,st,50,sex_female,hicov,0.029192013298989794,-0.01058183738070062,0.03472080631428043,0.006438510420998966,0.01770045851258084,852,1028,,86,1.01,True,False,True
nn_width,w=32 s=1,st,50,immigrant,pincp,0.08646994507348538,1.241219647813077,-1.168886703057039,0.10619582663940008,-0.03386288188336195,61,1819,,86,0.68,False,False,False
nn_width,w=32 s=1,st,50,immigrant,hicov,-0.033039230706837674,-0.009935343660417928,-0.022238093096289546,0.03462467603972241,-0.06679811279642989,61,1819,,86,0.97,True,False,True
nn_width,w=32 s=1,st,51,sex_female,pincp,-0.27302751178342,-0.08024066738796876,-0.13869196231923553,-0.07913977684978946,-0.13979285285741483,11165,13892,,92,2.89,False,False,False
nn_width,w=32 s=1,st,51,sex_female,hicov,0.018292008635743984,-0.005009464163363453,0.03328112686999296,0.000624302836062518,0.02764735987056699,11165,13892,,92,13.81,True,False,True
nn_width,w=32 s=1,st,51,race_bw,pincp,-0.3105158451780081,-0.13339827676885285,-0.28131776993332736,-0.19395990853514178,-0.22075613816703843,3571,18633,,91,3.4,False,False,False
nn_width,w=32 s=1,st,51,race_bw,hicov,-0.012815493743969841,-0.02460126131526308,0.01585006044371584,-0.023469162283506928,0.01471796141195969,3571,18633,,91,11.74,False,False,False
nn_width,w=32 s=1,st,51,immigrant,pincp,-0.08827680242906055,-0.04763306195255623,0.02842601679529544,-0.0015858443247456222,-0.01762120083251517,3568,21489,,92,2.95,False,True,True
nn_width,w=32 s=1,st,51,immigrant,hicov,-0.08259353987972162,-0.043608895152906,-0.04512726376643772,-0.010814080966295436,-0.07792207795304829,3568,21489,,92,16.04,False,False,False
nn_width,w=32 s=1,st,53,sex_female,pincp,-0.2748983811241228,-0.07041858101907295,-0.11427239136923717,-0.04092253589774941,-0.1437684364905607,8203,11854,,92,3.4,False,False,False
nn_width,w=32 s=1,st,53,sex_female,hicov,0.02300643443582484,-0.005704508568530775,0.023266362833147092,0.006891652311134644,0.010670201953481673,8203,11854,,92,11.73,True,False,True
nn_width,w=32 s=1,st,53,race_bw,pincp,-0.2401969338879315,0.1299012964443076,-0.3793743695758298,-0.0949756318401267,-0.15449744129139553,498,16076,,91,2.79,True,False,True
nn_width,w=32 s=1,st,53,immigrant,pincp,-0.06386455533668745,-0.042130000483407315,-0.010739440640119113,-0.06810507508797237,0.015235633964445938,3142,16915,,92,2.92,False,True,True
nn_width,w=32 s=1,st,53,immigrant,hicov,-0.08703524361614123,-0.05294239423911451,-0.04407683141197971,-0.016145332567736315,-0.0808738930833579,3142,16915,,92,9.19,False,False,False
nn_width,w=32 s=1,st,54,sex_female,pincp,-0.2653994856022521,0.0829393634304445,-0.3708200618319619,-0.06512012865622374,-0.22276056974529368,1870,2372,,91,1.55,True,False,True
nn_width,w=32 s=1,st,54,sex_female,hicov,0.019418618282818212,0.0007960750354435442,0.011809921173491555,-0.01102055962705395,0.02362655583598905,1870,2372,,91,2.16,True,False,True
nn_width,w=32 s=1,st,54,race_bw,pincp,-0.10287333642424024,1.0649292357045859,-1.1116203295046887,-0.0029578156717224857,-0.04373327812838035,95,4041,,90,1.29,True,False,True
nn_width,w=32 s=1,st,54,immigrant,pincp,0.09627748981801787,0.6216084724332891,-0.5548218608941689,0.017765285808371445,0.0490213257307488,92,4150,,91,1.23,False,True,True
nn_width,w=32 s=1,st,54,immigrant,hicov,-0.03514929282346779,-0.06745869192754084,0.03251621261071591,-0.0569731559882809,0.022030676671455973,92,4150,,91,2.73,False,False,False
nn_width,w=32 s=1,st,55,sex_female,pincp,-0.24014252727026175,0.012121177966900376,-0.2324996827448853,-0.0065329493801637994,-0.21384555539782113,7379,10129,,92,2.81,True,False,True
nn_width,w=32 s=1,st,55,sex_female,hicov,0.020999134207080772,-0.0039032719491929324,0.02759482680740799,0.007223958013207854,0.016467596845007204,7379,10129,,92,9.66,True,False,True
nn_width,w=32 s=1,st,55,race_bw,pincp,-0.23597190532807133,0.35715378663490505,-0.6929086516632896,-0.11786094326523866,-0.21789392176314593,357,16436,,91,2.07,True,False,True
nn_width,w=32 s=1,st,55,race_bw,hicov,-0.03011085183647566,-0.02518856038995787,-0.001824609351226747,-0.019953681873187468,-0.0070594878679971496,357,16436,,91,8.74,False,False,False
nn_width,w=32 s=1,st,55,immigrant,pincp,-0.08377285580072602,-0.030483708527668796,-0.11081410712474593,-0.02245509228235676,-0.11884272337005797,662,16846,,92,2.78,False,False,False
nn_width,w=32 s=1,st,55,immigrant,hicov,-0.1264630042973257,-0.04088620773594287,-0.06970268949384795,-0.009097749659629506,-0.10149114757016131,662,16846,,92,8.22,False,False,False
nn_width,w=32 s=1,st,56,sex_female,pincp,-0.36346992208175166,0.20623091755366474,-0.5386591801846379,-0.2969160719292905,-0.035512190701682655,647,956,,85,1.13,True,False,True
nn_width,w=32 s=1,st,56,sex_female,hicov,0.03127243214579034,-0.0040085610623346035,0.04084430461712607,0.022421676937518176,0.014414066617273291,647,956,,85,1.13,True,False,True
